HARGA,LT,LB,JKT,JKM,GRS
19000000000.00,435,650,4,4,1
55000000000.00,1500,1200,6,6,1
17000000000.00,624,557,6,5,0
19000000000.00,870,700,6,4,1
14700000000.00,474,455,4,5,1
13800000000.00,260,360,6,5,1
15000000000.00,450,400,4,3,0
10000000000.00,160,250,3,4,1
6250000000.00,150,440,3,2,1
7800000000.00,200,390,4,4,1
6800000000.00,137,285,4,3,1
15000000000.00,398,500,5,4,1
19000000000.00,916,1000,5,7,0
6750000000.00,217,193,4,4,0
28000000000.00,330,300,3,3,1
17000000000.00,921,310,3,3,1
11900000000.00,260,365,4,4,1
9530000000.00,150,523,3,3,0
10400000000.00,282,280,4,3,1
6500000000.00,138,290,4,3,1
15000000000.00,658,500,3,3,1
6000000000.00,200,272,4,4,1
6900000000.00,137,315,3,2,1
16000000000.00,521,470,7,6,1
19000000000.00,400,788,4,3,1
25000000000.00,865,450,4,4,1
15500000000.00,1100,600,4,4,1
12600000000.00,540,800,5,4,0
7900000000.00,228,465,4,4,1
20000000000.00,462,645,5,5,1
5000000000.00,143,200,3,3,1
18000000000.00,1900,650,6,6,1
1100000000.00,90,180,3,3,1
6500000000.00,427,300,4,4,1
17000000000.00,407,850,6,5,1
6500000000.00,217,195,4,3,1
8500000000.00,307,400,4,5,1
13500000000.00,429,600,5,4,1
850000000.00,76,60,2,2,0
14000000000.00,460,500,5,4,1
11200000000.00,371,250,6,3,1
7700000000.00,200,373,4,3,1
10000000000.00,388,343,4,4,1
13500000000.00,282,380,4,4,1
13000000000.00,410,800,4,4,0
27000000000.00,660,800,5,4,1
19000000000.00,435,650,4,4,1
7000000000.00,384,400,4,4,1
27500000000.00,1068,300,5,3,1
17000000000.00,465,640,3,4,0
10000000000.00,475,600,5,5,0
6800000000.00,210,275,3,2,1
21000000000.00,754,500,4,4,1
25000000000.00,1340,600,8,5,1
16000000000.00,521,471,5,5,1
6000000000.00,329,500,5,3,0
21000000000.00,1018,600,4,4,0
33000000000.00,1100,450,4,4,1
2790000000.00,180,250,3,3,1
8500000000.00,307,400,7,6,0
1930000000.00,111,135,3,3,0
14000000000.00,410,800,4,4,1
12750000000.00,500,400,4,3,0
5000000000.00,188,260,4,3,1
25000000000.00,1040,600,4,3,0
25000000000.00,1000,600,9,5,1
85500000000.00,1500,1300,5,5,1
5400000000.00,165,297,3,3,1
14000000000.00,380,350,6,4,1
5600000000.00,151,254,4,3,1
38000000000.00,1390,750,6,4,0
30000000000.00,557,400,4,3,0
17500000000.00,518,450,5,7,1
39500000000.00,1960,900,5,4,1
15000000000.00,395,460,4,4,1
13000000000.00,235,623,5,5,0
8500000000.00,434,380,5,2,0
45000000000.00,836,600,4,4,1
10000000000.00,230,350,3,2,1
20000000000.00,425,500,5,4,1
5800000000.00,144,285,4,3,1
20900000000.00,754,500,4,4,1
24000000000.00,832,650,4,1,0
23000000000.00,800,400,4,4,1
9000000000.00,256,245,4,4,0
1350000000.00,72,150,3,3,0
23000000000.00,800,500,5,4,0
14000000000.00,464,350,4,3,1
15000000000.00,733,140,2,2,0
6500000000.00,500,400,17,18,1
6800000000.00,376,352,5,5,0
10500000000.00,320,360,6,4,1
20000000000.00,442,600,3,4,1
16000000000.00,895,420,5,4,1
15000000000.00,400,500,4,4,0
9000000000.00,240,380,3,3,1
33000000000.00,1750,700,6,6,1
6200000000.00,450,550,4,4,1
40000000000.00,600,500,8,5,1
14500000000.00,240,450,4,4,1
25000000000.00,900,600,4,3,0
6200000000.00,376,352,4,2,1
38000000000.00,2880,1000,7,6,1
9000000000.00,350,650,4,3,1
7000000000.00,251,325,3,3,0
9900000000.00,452,200,3,2,1
15000000000.00,291,400,4,4,1
16000000000.00,445,1200,6,6,1
9000000000.00,300,300,4,3,1
25000000000.00,700,500,4,4,1
10000000000.00,468,410,4,3,1
9500000000.00,350,430,4,4,0
30000000000.00,778,320,3,2,0
15000000000.00,923,900,5,4,0
20000000000.00,1050,650,4,4,1
15000000000.00,530,633,4,3,0
5900000000.00,188,314,4,4,0
185000000000.00,6790,10000,5,5,1
17800000000.00,430,500,4,4,1
11500000000.00,375,400,5,4,1
12000000000.00,340,600,11,11,1
50000000000.00,325,500,3,3,1
7900000000.00,266,475,4,4,1
7000000000.00,250,280,3,3,1
7000000000.00,230,400,4,4,1
20000000000.00,600,890,6,6,1
11000000000.00,575,210,4,3,1
22000000000.00,1860,400,4,4,1
20000000000.00,610,1000,6,6,0
16000000000.00,835,600,5,5,0
8750000000.00,158,400,3,3,1
39000000000.00,1900,1000,6,5,0
10500000000.00,424,313,7,4,1
14000000000.00,651,350,5,3,1
11000000000.00,400,225,4,3,1
24000000000.00,354,350,3,3,1
14500000000.00,600,500,5,4,1
8500000000.00,200,400,4,4,1
9900000000.00,611,500,7,4,1
21000000000.00,557,882,5,4,1
6000000000.00,144,250,4,3,1
14000000000.00,661,800,4,4,0
12900000000.00,539,610,4,4,1
17640000000.00,503,541,4,3,1
12000000000.00,600,500,4,4,1
10000000000.00,237,250,4,3,1
3790000000.00,248,248,4,2,0
9000000000.00,600,400,4,3,0
250000000000.00,6000,1500,5,5,1
9500000000.00,274,258,3,3,1
17500000000.00,518,450,5,7,1
8250000000.00,159,278,3,3,1
4300000000.00,123,190,3,3,0
4300000000.00,152,230,4,2,0
5620000000.00,122,311,3,3,1
3250000000.00,240,200,3,3,1
6500000000.00,144,285,4,3,1
25000000000.00,1020,800,5,3,1
23000000000.00,752,400,4,3,1
17700000000.00,860,750,5,4,1
7700000000.00,190,300,3,2,1
16000000000.00,465,640,4,4,1
6000000000.00,200,272,4,4,1
15000000000.00,500,765,4,4,1
25000000000.00,685,450,4,4,1
20000000000.00,910,450,5,4,1
15000000000.00,580,220,4,3,0
8500000000.00,246,221,3,3,1
4000000000.00,125,125,3,3,1
11500000000.00,400,300,3,3,1
27500000000.00,1010,605,6,6,1
6000000000.00,182,500,4,3,1
17500000000.00,477,550,4,4,1
17000000000.00,300,475,5,4,1
7500000000.00,259,410,4,3,1
28000000000.00,572,450,8,7,1
7000000000.00,349,349,9,5,1
9000000000.00,200,480,4,3,1
39000000000.00,973,1100,4,4,1
42000000000.00,2131,1600,5,5,1
4000000000.00,219,103,4,2,1
9000000000.00,490,350,4,3,1
25000000000.00,1000,800,4,3,1
3800000000.00,153,180,4,3,0
15000000000.00,506,400,3,3,0
17000000000.00,465,640,4,4,1
7300000000.00,278,350,4,4,1
8500000000.00,250,400,4,4,1
55000000000.00,2641,1000,4,3,1
17000000000.00,851,450,4,3,1
17000000000.00,392,327,4,4,1
10000000000.00,402,236,3,3,1
12000000000.00,254,370,4,4,1
10500000000.00,380,300,3,3,1
17500000000.00,417,560,4,4,1
5250000000.00,135,250,3,4,1
13500000000.00,565,380,3,3,1
10500000000.00,220,350,4,3,1
17000000000.00,440,350,4,4,1
7900000000.00,356,450,4,3,1
18600000000.00,474,455,4,4,0
35000000000.00,1200,900,6,6,1
25000000000.00,670,650,3,3,0
22000000000.00,754,500,4,4,1
68000000000.00,2595,1000,5,5,1
6500000000.00,266,350,4,4,1
2500000000.00,200,120,3,3,1
22000000000.00,754,500,4,4,1
22000000000.00,888,450,4,3,1
5100000000.00,120,210,4,3,0
9200000000.00,231,389,3,3,1
36000000000.00,1200,850,5,4,0
7900000000.00,205,357,4,4,0
5800000000.00,250,350,4,4,1
11000000000.00,230,350,4,4,1
4900000000.00,340,210,3,2,1
23000000000.00,806,700,4,4,1
17000000000.00,440,350,4,4,1
8200000000.00,188,330,3,3,1
9500000000.00,251,295,4,4,1
6500000000.00,266,350,4,3,1
27000000000.00,900,400,4,3,1
16500000000.00,600,400,7,4,1
35000000000.00,2000,800,4,4,0
6200000000.00,142,311,3,2,1
15000000000.00,912,484,6,3,1
9500000000.00,251,295,4,4,1
23000000000.00,806,700,4,4,1
7370000000.00,211,465,4,4,1
19500000000.00,850,750,3,2,1
5800000000.00,122,289,3,3,1
33000000000.00,1100,800,5,5,1
22500000000.00,500,536,5,5,1
4200000000.00,110,165,4,3,1
16950000000.00,387,250,1,1,1
13000000000.00,616,650,4,4,1
18000000000.00,670,385,4,4,1
7000000000.00,140,215,4,4,1
5000000000.00,234,350,4,4,1
38500000000.00,1420,550,8,5,1
15000000000.00,395,420,4,4,1
13500000000.00,230,400,3,2,1
13000000000.00,372,450,4,4,1
8500000000.00,250,400,4,4,1
17000000000.00,786,1000,6,7,0
43000000000.00,1350,750,5,5,1
13000000000.00,235,623,4,4,0
22000000000.00,1000,800,5,4,0
9950000000.00,212,300,4,3,1
12500000000.00,512,350,3,3,1
16000000000.00,578,500,5,4,1
22600000000.00,754,500,4,4,1
75000000000.00,1830,1000,5,4,1
30000000000.00,1100,500,4,4,1
20000000000.00,897,450,4,4,1
15000000000.00,733,140,2,2,1
19000000000.00,435,500,4,4,1
8700000000.00,229,327,4,3,1
25000000000.00,670,671,4,4,0
19000000000.00,520,600,4,4,0
35000000000.00,900,800,7,5,1
18000000000.00,677,450,4,3,0
15000000000.00,415,150,3,2,1
9500000000.00,350,460,6,5,1
25500000000.00,1020,816,5,3,0
16000000000.00,1095,450,3,4,1
15000000000.00,940,320,2,2,1
22000000000.00,824,600,7,4,1
6900000000.00,243,260,4,4,1
20000000000.00,429,499,4,4,1
45000000000.00,1466,900,9,9,1
60000000000.00,2360,542,6,8,1
10800000000.00,472,650,6,3,1
56000000000.00,1470,2000,7,7,1
14400000000.00,474,455,3,4,1
60000000000.00,2630,542,6,8,0
9500000000.00,278,400,3,2,1
19000000000.00,430,500,4,5,1
40000000000.00,973,1100,4,4,1
175230000000.00,4574,4271,4,4,1
19500000000.00,834,780,6,3,0
17000000000.00,392,450,4,4,1
16000000000.00,1095,450,3,4,1
13000000000.00,407,850,4,4,1
21000000000.00,817,500,4,3,0
19000000000.00,800,500,5,4,1
1880000000.00,90,135,3,3,1
5100000000.00,140,250,3,2,0
12000000000.00,572,432,5,6,1
8000000000.00,350,350,5,5,1
17000000000.00,389,450,7,4,1
49000000000.00,943,600,7,4,1
6000000000.00,144,250,4,3,1
12000000000.00,230,300,5,4,1
17000000000.00,470,660,4,4,1
10500000000.00,220,325,4,3,1
950000000.00,50,80,3,2,0
9500000000.00,462,350,3,3,1
19000000000.00,358,500,4,5,1
25500000000.00,1020,816,4,4,1
2800000000.00,70,125,3,3,0
18500000000.00,358,500,4,4,1
22000000000.00,780,580,4,4,0
5500000000.00,150,210,4,4,1
10500000000.00,500,700,4,4,1
17000000000.00,465,640,4,5,1
5680000000.00,151,245,3,3,1
15000000000.00,400,800,4,4,0
13500000000.00,615,500,4,5,0
4800000000.00,200,260,5,7,0
14000000000.00,350,250,3,3,1
19000000000.00,520,500,5,5,0
17000000000.00,389,450,4,4,1
13500000000.00,1034,900,6,5,1
8500000000.00,307,400,7,6,0
9500000000.00,458,300,5,4,1
40000000000.00,1050,800,27,21,1
18000000000.00,900,500,4,4,1
6700000000.00,285,258,4,4,0
37500000000.00,680,1250,6,5,1
26000000000.00,600,450,4,4,1
15000000000.00,500,1000,5,5,1
33000000000.00,585,900,7,6,1
8500000000.00,250,300,4,4,1
22000000000.00,900,1800,4,3,1
7900000000.00,220,300,3,3,1
11160000000.00,248,333,4,4,1
19500000000.00,443,450,5,3,0
10000000000.00,475,600,5,5,0
1100000000.00,59,80,3,2,1
7190000000.00,207,245,3,3,1
9000000000.00,200,300,5,4,1
5700000000.00,144,325,3,3,1
36000000000.00,1300,850,5,4,0
17000000000.00,663,530,5,4,1
23000000000.00,650,600,5,5,0
1140000000.00,60,60,3,2,0
12500000000.00,512,350,3,3,1
16000000000.00,587,350,4,3,1
5800000000.00,144,285,4,3,0
17000000000.00,536,900,7,2,1
14000000000.00,464,360,4,3,0
17500000000.00,518,450,5,7,1
26000000000.00,900,500,7,4,0
11500000000.00,547,500,4,3,1
19000000000.00,800,500,5,3,0
19000000000.00,800,500,5,4,1
3600000000.00,164,150,4,4,1
5300000000.00,90,205,3,3,1
11000000000.00,436,300,6,5,0
6620000000.00,135,225,5,4,0
5500000000.00,164,240,4,3,1
19800000000.00,1039,430,5,4,0
40000000000.00,1752,712,3,4,0
10000000000.00,395,450,5,5,1
6500000000.00,124,300,3,3,1
6800000000.00,145,330,4,1,1
9000000000.00,450,700,4,4,0
4500000000.00,240,355,4,3,1
24500000000.00,876,600,8,5,0
5800000000.00,144,325,3,3,1
10500000000.00,500,700,4,4,1
15500000000.00,440,350,6,4,0
7000000000.00,272,310,5,3,1
14500000000.00,600,643,5,5,1
5500000000.00,150,210,4,4,1
17000000000.00,670,800,5,5,1
18500000000.00,443,450,5,5,1
4400000000.00,236,158,6,4,0
14000000000.00,460,400,4,3,1
19800000000.00,1039,430,5,3,1
6800000000.00,253,380,4,3,1
14000000000.00,460,400,4,4,0
9550000000.00,251,288,3,4,1
4600000000.00,123,190,3,3,1
19000000000.00,358,500,5,5,1
5800000000.00,128,148,3,3,1
7000000000.00,291,210,4,3,1
21500000000.00,788,400,4,3,0
38000000000.00,900,422,4,3,1
5900000000.00,160,176,4,3,0
15000000000.00,600,450,5,4,0
14900000000.00,700,500,4,3,1
16000000000.00,587,350,4,3,1
21000000000.00,1180,550,5,4,1
9500000000.00,330,450,5,2,1
8500000000.00,400,280,3,3,0
14000000000.00,580,500,6,4,1
26000000000.00,600,450,4,4,1
13000000000.00,330,430,5,4,1
8600000000.00,246,350,3,3,0
7000000000.00,194,229,5,4,1
18000000000.00,800,600,5,5,1
5500000000.00,214,245,4,2,0
43000000000.00,1000,600,27,27,1
13500000000.00,250,350,5,4,1
36000000000.00,1300,850,5,5,1
4500000000.00,235,300,4,4,1
18500000000.00,1000,700,4,3,1
21500000000.00,603,400,4,1,1
21000000000.00,358,500,4,5,1
24000000000.00,450,1320,5,3,0
15000000000.00,225,425,5,4,1
21600000000.00,800,500,4,2,1
12000000000.00,477,970,5,4,1
5000000000.00,185,255,4,4,1
7700000000.00,188,300,3,3,1
8700000000.00,246,350,3,3,1
5200000000.00,464,400,5,5,1
30000000000.00,1017,500,5,3,1
4500000000.00,258,150,2,2,0
30000000000.00,1500,600,7,7,1
28000000000.00,1100,800,5,4,1
14200000000.00,474,455,3,3,1
29000000000.00,1019,800,6,4,1
6900000000.00,389,400,4,3,1
21900000000.00,377,266,4,3,1
14500000000.00,212,363,3,4,1
5300000000.00,129,148,3,3,0
7900000000.00,181,330,3,4,0
4500000000.00,151,200,4,4,1
17000000000.00,500,600,4,3,0
14500000000.00,240,450,4,4,1
20000000000.00,1040,600,4,3,1
5900000000.00,160,176,4,3,1
20000000000.00,1026,750,6,4,1
2500000000.00,94,180,4,4,0
18500000000.00,421,450,4,3,1
20000000000.00,472,650,4,3,0
6500000000.00,295,300,4,4,1
5000000000.00,225,245,3,3,0
17000000000.00,465,640,4,4,1
15000000000.00,500,600,5,5,1
10000000000.00,246,350,3,3,1
18000000000.00,700,500,5,4,1
36000000000.00,1147,900,5,6,1
35500000000.00,500,525,4,4,1
5250000000.00,190,320,4,3,1
13500000000.00,330,520,3,2,1
10700000000.00,604,550,5,5,1
18000000000.00,415,470,5,4,1
21000000000.00,817,500,4,4,1
10000000000.00,227,400,4,3,1
6500000000.00,215,320,4,3,1
4700000000.00,260,280,6,4,1
17500000000.00,518,450,5,7,1
19750000000.00,500,536,5,5,1
30000000000.00,317,450,4,4,1
15000000000.00,585,300,4,2,0
25000000000.00,1050,1000,4,4,0
11100000000.00,230,568,4,4,1
20000000000.00,780,500,4,3,0
5300000000.00,330,250,10,4,0
39000000000.00,973,1000,4,4,0
38000000000.00,1180,800,8,9,1
18000000000.00,216,384,4,4,1
23000000000.00,558,563,8,6,1
26000000000.00,1083,1200,6,6,1
23000000000.00,693,474,5,4,1
4750000000.00,161,250,4,2,0
15900000000.00,400,500,4,5,1
5500000000.00,230,300,3,3,0
9000000000.00,159,380,3,3,1
19000000000.00,817,600,5,4,1
22600000000.00,754,500,4,4,1
33000000000.00,585,900,7,6,1
12000000000.00,600,500,4,3,1
15000000000.00,385,500,4,5,1
17500000000.00,518,450,5,7,1
1870000000.00,22,90,3,2,0
17500000000.00,800,800,5,5,0
5800000000.00,144,285,4,3,1
39000000000.00,450,650,7,5,1
6500000000.00,399,350,4,3,1
12000000000.00,615,450,4,4,1
8800000000.00,527,600,3,3,0
7730000000.00,225,245,3,3,1
500000000.00,60,60,2,1,0
14400000000.00,474,450,4,3,1
16000000000.00,407,575,5,4,1
40000000000.00,973,1100,4,4,1
11000000000.00,180,415,4,5,1
5500000000.00,144,325,3,4,0
16000000000.00,350,600,4,4,0
21000000000.00,1042,550,7,6,1
11200000000.00,246,345,6,5,1
5500000000.00,214,245,5,3,0
6500000000.00,250,214,4,3,0
16500000000.00,472,650,4,3,1
10500000000.00,230,300,10,10,1
10000000000.00,227,400,6,4,1
10500000000.00,876,700,7,4,0
15000000000.00,400,450,5,4,1
8950000000.00,246,340,6,3,1
22000000000.00,1000,800,5,4,1
6800000000.00,133,331,4,3,1
5200000000.00,347,300,5,4,0
20000000000.00,450,550,5,2,0
26000000000.00,700,887,4,5,0
15500000000.00,450,400,4,4,0
6900000000.00,625,500,4,4,1
2750000000.00,130,175,3,3,0
22000000000.00,455,570,4,5,1
9550000000.00,251,288,4,3,0
15000000000.00,520,500,4,4,1
15000000000.00,1055,650,8,5,1
39000000000.00,973,1100,4,4,1
17500000000.00,518,450,5,7,1
28000000000.00,1020,816,5,3,1
4650000000.00,124,220,4,3,1
6800000000.00,389,200,4,3,1
5900000000.00,214,245,5,3,0
14500000000.00,648,400,8,6,1
36000000000.00,1300,850,6,4,1
19500000000.00,520,500,5,4,1
5000000000.00,300,200,5,4,0
11100000000.00,282,383,4,2,1
14000000000.00,718,400,2,2,1
4950000000.00,135,250,3,4,1
8500000000.00,246,221,4,4,1
4700000000.00,110,250,4,3,0
14400000000.00,451,320,5,4,1
85000000000.00,1175,1700,5,6,1
6700000000.00,190,250,4,3,1
4400000000.00,201,300,4,3,0
6800000000.00,212,170,3,2,1
5800000000.00,150,171,3,3,0
14850000000.00,539,610,4,4,1
11000000000.00,180,420,4,5,1
17000000000.00,392,400,4,4,1
8250000000.00,174,220,3,3,1
8000000000.00,352,200,4,2,1
16000000000.00,407,500,4,4,1
5400000000.00,104,240,3,3,1
14000000000.00,407,800,4,3,1
25000000000.00,752,450,4,4,1
19000000000.00,380,600,4,4,1
1350000000.00,72,150,3,3,0
3500000000.00,156,95,4,3,1
14500000000.00,560,200,3,2,1
3500000000.00,100,186,4,3,1
2200000000.00,110,200,3,3,1
15500000000.00,1055,500,5,3,1
1300000000.00,65,108,3,2,1
1200000000.00,69,75,3,1,0
1310000000.00,51,60,2,2,0
2400000000.00,127,180,5,5,1
5500000000.00,234,115,2,2,1
15000000000.00,500,550,5,5,1
35500000000.00,1500,1000,6,6,1
3800000000.00,220,220,3,3,0
4970000000.00,154,300,6,4,1
10500000000.00,202,600,3,3,0
680000000.00,50,60,3,2,0
2570000000.00,107,120,3,3,0
14000000000.00,949,800,5,4,1
4600000000.00,201,350,4,3,1
4200000000.00,109,188,3,3,1
13500000000.00,465,365,5,5,1
700000000.00,60,52,3,2,1
1650000000.00,78,105,3,3,1
1300000000.00,86,135,3,2,0
80000000000.00,800,2000,7,6,1
11750000000.00,340,419,4,4,0
14900000000.00,291,400,4,4,0
57000000000.00,550,1200,5,5,1
1350000000.00,69,100,3,3,1
555000000.00,32,38,2,2,0
1200000000.00,60,70,3,2,1
2990000000.00,123,160,4,3,0
7500000000.00,150,350,3,3,1
4200000000.00,85,190,3,3,0
25000000000.00,850,530,6,4,1
1880000000.00,60,90,3,2,0
5300000000.00,144,285,4,3,1
